challenge,model,temperature,samples,signal,noise,clipping_mean,clipping_std,clipping_count,nans_infs,nans_infs_extr,perf
distortion-adaa,human,1.0,1323000.0,-6.563236521563997,-38.25074061864753,0.0,0.0,0.0,0.0,1293296.0,0.2449662685394287
distortion-unspec,claude-3-7-sonnet-20250219,0.0,,,,,,,,,
distortion-unspec,deepseek-chat,0.0,1323000.0,-6.06821306454382,-100.65244143408319,0.02823350764811039,0.013435589149594307,487844.0,0.0,0.0,1.9032931327819824
distortion-unspec,gemini-2.5-pro-preview-05-06,0.0,1323000.0,-6.061853545037628,-71.06278915170049,0.028065385296940804,0.013375545851886272,489086.0,0.0,0.0,1.3932783603668213
distortion-unspec,gpt-4.1-2025-04-14,0.0,1323000.0,-8.14322372341599,-42.97430870922408,0.10439425706863403,0.04401066154241562,565828.0,0.0,0.0,0.8297076225280762
distortion-unspec,sonar-reasoning-pro,0.0,1323000.0,-6.242736520134038,-30.42910446851762,0.0,0.0,0.0,0.0,0.0,0.19683361053466797
distortion-unspec,claude-3-7-sonnet-20250219,0.01,,,,,,,,,
distortion-unspec,deepseek-chat,0.01,1323000.0,-6.0682127428975,-100.65257698009583,0.028233513236045837,0.013435588218271732,487844.0,0.0,0.0,1.9035236835479736
distortion-unspec,gemini-2.5-pro-preview-05-06,0.01,1323000.0,-6.061853545037628,-71.06278915170049,0.028065385296940804,0.013375545851886272,489086.0,0.0,0.0,1.3867344856262207
distortion-unspec,gpt-4.1-2025-04-14,0.01,1323000.0,-6.951991753687416,-37.450884575195616,0.085319384932518,0.04233672469854355,482334.0,0.0,0.0,3.165178060531616
distortion-unspec,sonar-reasoning-pro,0.01,1323000.0,-6.068212967689991,-29.666562650708556,0.0,0.0,0.0,0.0,0.0,0.674992561340332
distortion-unspec,claude-3-7-sonnet-20250219,0.3,1323000.0,-6.245338014093131,-100.65251708617099,0.024020645767450333,0.014438636600971222,490032.0,0.0,0.0,2.8871710300445557
distortion-unspec,deepseek-chat,0.3,1323000.0,-6.0682127428975,-100.65257698009583,0.028233513236045837,0.013435588218271732,487844.0,0.0,0.0,1.9268825054168701
distortion-unspec,gemini-2.5-pro-preview-05-06,0.3,1323000.0,-6.061853545037628,-71.06278915170049,0.028065385296940804,0.013375545851886272,489086.0,0.0,0.0,1.3974339962005615
distortion-unspec,gpt-4.1-2025-04-14,0.3,1323000.0,-8.143284203873975,-42.97667570393949,0.10439173715317253,0.04400943478075642,565820.0,0.0,0.0,0.335407018661499
distortion-unspec,sonar-reasoning-pro,0.3,1323000.0,-6.236018329538993,-29.876559789259378,0.0,0.0,0.0,0.0,0.0,0.47929811477661133
distortion-unspec,claude-3-7-sonnet-20250219,0.5,1323000.0,-6.061853545037628,-71.06278915170049,0.028065385296940804,0.013375545851886272,489086.0,0.0,0.0,1.3762409687042236
distortion-unspec,deepseek-chat,0.5,,,,,,,,,
distortion-unspec,gemini-2.5-pro-preview-05-06,0.5,1323000.0,-6.061853545037628,-71.06278915170049,0.028065385296940804,0.013375545851886272,489086.0,0.0,0.0,1.409745454788208
distortion-unspec,gpt-4.1-2025-04-14,0.5,1323000.0,-8.143284205203155,-42.97667555225803,0.10439174622297287,0.04400942847132683,565820.0,0.0,0.0,0.3343839645385742
